0 100
2 88.8
4 79.168
6 70.8845
8 63.7607
10 57.6342
12 52.3654
14 47.8342
16 43.9374
18 40.5862
20 37.7041
22 35.2255
24 33.094
26 31.2608
28 29.6843
30 28.3285
32 27.1625
34 26.1598
36 25.2974
38 24.5558
40 23.918
42 23.3694
44 22.8977
46 22.492
48 22.1432
50 21.8431
52 21.5851
54 21.3632
56 21.1723
58 21.0082
60 20.867
62 20.7457
64 20.6413
66 20.5515
68 20.4743
70 20.4079
72 20.3508
74 20.3017
76 20.2594
78 20.2231
80 20.1919
82 20.165
84 20.1419
86 20.122
88 20.105
90 20.0903
92 20.0776
94 20.0668
96 20.0574
98 20.0494
